id,palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponiblidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra
176,"bolsa","bag",5.00,0.31,3.55,1.87,5.38,1.75,6.73,0.77,6.25,1.86,6.55,0.83,1
177,"bolsillo","pocket",5.50,0.80,4.25,1.94,6.14,1.42,6.75,0.44,5.64,1.53,6.62,1.12,1
178,"bolso","bag",5.35,1.32,3.80,1.77,5.48,1.54,6.85,0.37,6.09,1.19,6.70,0.73,1
179,"bombardeo","bombardment",2.09,1.80,7.50,2.04,4.86,1.49,6.05,1.28,4.41,2.24,4.57,1.54,1
180,"bombero","firefighter",5.18,1.82,5.14,2.29,6.75,0.44,6.80,0.41,6.45,0.83,5.65,1.60,1
181,"bombilla","light bulb",4.96,0.21,3.50,2.40,6.65,0.49,6.91,0.29,6.09,1.57,6.48,0.81,1
182,"bondad","goodness",7.23,1.34,3.70,3.10,3.30,1.98,2.05,1.17,4.88,1.62,6.35,1.23,1
183,"borde","edge",3.86,1.08,4.68,2.08,3.25,1.74,4.91,1.77,5.05,1.82,6.20,0.95,1
184,"borracho","drunk",3.30,1.03,6.40,1.47,6.09,1.08,6.26,1.36,6.64,0.58,6.68,0.57,1
185,"bota","boot",5.00,0.46,4.00,2.00,5.41,1.74,6.91,0.43,5.85,1.79,6.15,1.50,1
186,"bote","pot",4.71,0.90,3.95,1.73,4.77,2.02,6.48,1.16,5.35,2.08,5.82,1.44,1
187,"botella","bottle",5.65,0.83,4.05,1.90,6.09,1.44,7.00,0.00,6.45,1.06,6.75,0.55,1
188,"botín","swag",5.85,1.53,5.23,2.14,4.95,1.81,5.50,1.99,3.90,2.25,5.00,1.88,1
189,"brazo","arm",4.80,0.52,3.40,1.88,6.36,0.79,7.00,0.00,6.32,1.39,6.86,0.35,1
190,"brevedad","brevity",4.55,1.93,3.55,1.77,3.78,1.95,2.61,1.80,4.35,2.27,5.33,1.43,1
191,"brillante","bright",7.15,1.16,6.15,1.87,2.90,1.76,4.30,2.15,4.55,2.18,5.68,1.32,1
192,"brutalidad","brutality",2.79,1.64,8.05,1.13,4.22,1.54,3.61,1.90,3.35,1.98,4.48,1.75,1
193,"bufanda","scarf",5.39,1.20,3.05,1.70,6.52,0.68,6.90,0.45,5.91,1.74,6.64,0.49,1
194,"bulto","bulk",3.82,1.31,5.61,2.37,3.14,2.01,4.71,1.74,2.57,1.80,5.18,1.92,1
195,"burro","donkey",4.85,1.27,4.67,2.03,5.64,1.50,6.70,0.80,5.70,2.15,5.70,1.56,3
196,"butaca","armchair",5.91,0.87,2.95,1.79,6.40,0.99,6.76,0.44,5.75,2.29,6.00,1.02,1
197,"buzón","mailbox",4.77,0.71,3.75,1.65,5.52,1.91,6.85,0.37,5.45,2.11,6.32,1.25,1
198,"cabello","hair",6.15,1.04,4.10,2.61,6.32,0.72,6.59,0.59,6.35,1.43,6.15,1.31,1
199,"cachondeo","joke",5.64,2.50,7.45,1.57,3.71,2.05,3.85,1.60,5.63,1.21,6.18,0.80,1
200,"cadáver","corpse",1.68,1.04,7.09,1.54,6.14,1.39,6.50,0.69,5.45,1.82,5.05,1.28,1
201,"caer","to fall out",3.00,1.17,6.27,2.41,4.91,1.57,5.14,1.46,5.91,1.41,6.33,1.11,2
202,"caja","box",4.85,0.88,3.55,1.73,4.19,1.94,6.60,0.75,5.50,1.99,6.68,0.65,1
203,"cálculo","calculation",4.35,0.93,4.86,1.88,3.19,1.72,4.18,1.87,4.55,1.57,5.33,1.43,1
204,"calefacción","heating",6.57,1.47,2.50,1.92,5.57,1.50,5.95,1.47,6.59,0.85,6.75,0.44,1
205,"calidad","quality",6.83,1.53,4.15,2.62,2.50,1.36,2.90,1.71,4.55,2.11,5.75,1.55,1
206,"callado","silent",4.05,1.64,3.80,2.26,5.91,1.47,5.09,1.98,5.36,1.97,6.38,0.86,1
207,"calvario","calvary",2.13,0.87,6.27,2.37,2.73,1.64,2.50,1.54,3.59,2.13,4.14,1.46,1
208,"cama","bed",6.86,1.25,2.55,2.16,6.77,0.53,7.00,0.00,6.75,0.55,6.95,0.21,1
209,"camarera","waitress",5.50,1.29,4.87,2.40,6.09,1.06,6.19,1.29,5.71,1.93,6.48,0.93,1
210,"cambio","exchange",5.27,1.75,6.10,2.15,3.09,1.80,2.09,1.41,5.32,1.64,6.38,1.07,1
211,"camión","truck",5.05,0.97,5.05,1.54,6.38,1.02,6.86,0.35,6.09,1.34,6.24,1.22,1
212,"camiseta","shirt",5.48,0.99,4.35,1.98,6.60,0.60,6.86,0.36,6.45,0.96,6.64,1.05,1
213,"camisón","nightgown",5.38,0.90,3.45,1.79,6.14,0.96,6.60,0.99,5.00,2.14,4.85,2.08,1
214,"campamento","camp",7.05,1.50,4.65,2.52,5.48,1.29,5.41,1.30,5.18,2.17,5.50,1.79,1
215,"campaña","campaign",4.80,0.70,4.15,1.73,3.15,1.90,3.65,1.76,5.25,2.22,4.90,1.67,1
216,"campeona","champion",8.30,0.92,7.09,1.80,5.04,1.52,6.04,1.36,4.67,1.74,5.60,1.60,1
217,"campeonato","championship",5.67,1.66,6.90,2.19,4.50,1.47,5.35,1.37,6.10,1.21,5.55,1.47,1
218,"campesino","peasant",5.05,1.05,3.75,1.74,6.19,0.93,6.75,0.55,4.83,2.24,4.65,1.98,1
219,"canal","channel",4.76,0.62,3.27,1.72,3.59,1.68,4.22,2.04,6.15,1.69,5.90,1.14,1
220,"cáncer","cancer",1.09,0.29,7.60,1.31,5.23,1.63,3.09,1.66,5.15,1.79,5.81,1.69,1
221,"canción","song",7.55,1.37,4.64,2.85,5.10,1.86,3.90,2.07,6.41,1.14,6.90,0.30,1
222,"candado","padlock",3.86,1.75,4.30,2.32,6.67,0.58,6.77,0.53,4.96,2.40,5.50,1.79,1
223,"candidata","candidate",5.64,1.03,4.43,1.88,3.64,1.84,2.76,1.84,3.67,1.91,5.45,1.77,1
224,"candidato","candidate",5.00,0.65,4.75,1.62,3.19,1.63,3.68,2.17,4.55,1.97,5.59,1.44,1
225,"cansancio","fatigue",2.80,1.15,4.45,2.81,3.80,1.94,3.95,1.75,5.39,2.06,6.65,0.49,1
