id;palabra;gender;number;categoria_palabra;pos_tag;translation_en;source;freq_absoluta;freq_normalizada
30;atributo;Masc;Sing;1;NOUN;attribute;redondo_2005;448;2.93
31;ausencia;Fem;Sing;1;NOUN;absence;redondo_2005;10,342;67.79
32;automóvil;Masc;Sing;1;NOUN;car;redondo_2005;4,706;30.84
33;aventura;Fem;Sing;1;NOUN;adventure;redondo_2005;5,13;33.62
34;avión;Masc;Sing;1;NOUN;plane;redondo_2005;6,853;44.92
35;aviso;Masc;Sing;1;NOUN;notice;redondo_2005;2,997;19.64
36;azar;Masc;Sing;1;NOUN;random;redondo_2005;3,398;22.27
37;azulejo;Masc;Sing;1;NOUN;tile;redondo_2005;87;0.57
38;balanza;Fem;Sing;1;NOUN;balance;redondo_2005;2,081;13.64
39;banco;Masc;Sing;1;NOUN;Bank;redondo_2005;24,341;159.55
40;banda;Fem;Sing;1;NOUN;band;redondo_2005;8,608;56.42
41;biblioteca;Fem;Sing;1;NOUN;library;redondo_2005;5,006;32.81
42;boceto;Masc;Sing;1;NOUN;sketch;redondo_2005;210;1.37
43;bola;Fem;Sing;1;NOUN;ball;redondo_2005;2,144;14.05
44;bomba;Fem;Sing;1;NOUN;bomb;redondo_2005;4,563;29.90
45;borde;Masc;Sing;1;NOUN;edge;redondo_2005;5,436;35.63
46;brazo;Masc;Sing;1;NOUN;arm;redondo_2005;9,737;63.82
47;broma;Fem;Sing;1;NOUN;joke;redondo_2005;2,612;17.12
48;café;Masc;Sing;1;NOUN;coffee;redondo_2005;12,353;80.97
49;calavera;Fem;Sing;1;NOUN;skull;redondo_2005;457;2.99
50;calma;Fem;Sing;1;NOUN;calm;redondo_2005;4,437;29.08
51;calor;Masc;Sing;1;NOUN;hot;redondo_2005;11,067;72.54
52;camarada;;Sing;1;NOUN;comrade;redondo_2005;966;6.33
53;camisa;Fem;Sing;1;NOUN;shirt;redondo_2005;4,052;26.56
54;campeón;Masc;Sing;1;NOUN;champion;redondo_2005;5,594;36.66
55;campo;Masc;Sing;1;NOUN;countryside;redondo_2005;30,775;201.72
56;canal;Masc;Sing;1;NOUN;channel;redondo_2005;8,95;58.66
57;cantidad;Fem;Sing;1;NOUN;quantity;redondo_2005;21,812;142.97
58;capa;Fem;Sing;1;NOUN;cap;redondo_2005;4,826;31.63
59;capilla;Fem;Sing;1;NOUN;chapel;redondo_2005;2,601;17.04
60;capricho;Masc;Sing;1;NOUN;whim;redondo_2005;1,31;8.58
61;carcajada;Fem;Sing;1;NOUN;laugh;redondo_2005;1,227;8.04
62;carmín;Masc;Sing;1;NOUN;carmine;redondo_2005;225;1.47
63;casino;Masc;Sing;1;NOUN;;redondo_2005;1,347;8.82
64;casualidad;Fem;Sing;1;NOUN;chance;redondo_2005;2,634;17.26
65;catástrofe;Fem;Sing;1;NOUN;catastrophe;redondo_2005;1,856;12.16
66;cauce;Masc;Sing;1;NOUN;channel;redondo_2005;1,389;9.10
67;celda;Fem;Sing;1;NOUN;cell;redondo_2005;2,411;15.80
68;celo;Masc;Sing;1;NOUN;zeal;redondo_2005;1,223;8.01
69;ceniza;Fem;Sing;1;NOUN;ash;redondo_2005;966;6.33
70;centuria;Fem;Sing;1;NOUN;century;redondo_2005;414;2.71
71;cera;Fem;Sing;1;NOUN;wax;redondo_2005;1,206;7.90
72;cercanía;Fem;Sing;1;NOUN;closeness;redondo_2005;1,308;8.57
73;charca;Fem;Sing;1;NOUN;pond;redondo_2005;204;1.33
74;chófer;Masc;Sing;1;NOUN;driver;redondo_2005;937;6.14
75;cima;Fem;Sing;1;NOUN;top;redondo_2005;1,601;10.49
76;cintura;Fem;Sing;1;NOUN;waist;redondo_2005;3,215;21.07
77;clase;Fem;Sing;1;NOUN;class;redondo_2005;21,733;142.45
78;clínica;Fem;Sing;1;NOUN;clinic;redondo_2005;5,896;38.64
79;club;Masc;Sing;1;NOUN;club;redondo_2005;14,359;94.12
80;coacción;Fem;Sing;1;NOUN;coercion;redondo_2005;564;3.69
81;código;Masc;Sing;1;NOUN;code;redondo_2005;7,405;48.53
82;colina;Fem;Sing;1;NOUN;hill;redondo_2005;1,381;9.05
83;colonia;Fem;Sing;1;NOUN;Suburb;redondo_2005;4,752;31.14
84;comarca;Fem;Sing;1;NOUN;region;redondo_2005;2,13;13.96
85;combinación;Fem;Sing;1;NOUN;combination;redondo_2005;3,996;26.19
86;comienzo;Masc;Sing;1;NOUN;Start;redondo_2005;8,677;56.87
87;compañía;Fem;Sing;1;NOUN;company;redondo_2005;19,178;125.70
88;composición;Fem;Sing;1;NOUN;composition;redondo_2005;6,876;45.07
89;concepción;Fem;Sing;1;NOUN;conception;redondo_2005;9,224;60.46
90;conciencia;Fem;Sing;1;NOUN;awareness;redondo_2005;16,829;110.31
91;concurso;Masc;Sing;1;NOUN;competition;redondo_2005;6,24;40.90
92;conducto;Masc;Sing;1;NOUN;conduit;redondo_2005;936;6.13
93;congreso;Masc;Sing;1;NOUN;congress;redondo_2005;25,073;164.35
94;conquista;Fem;Sing;1;NOUN;conquest;redondo_2005;4,042;26.49
95;consecuencia;Fem;Sing;1;NOUN;consequence;redondo_2005;18,358;120.33
96;conservación;Fem;Sing;1;NOUN;conservation;redondo_2005;5,048;33.08
97;conservador;Masc;Sing;1;NOUN;conservative;redondo_2005;3,13;20.51
98;consideración;Fem;Sing;1;NOUN;consideration;redondo_2005;5,876;38.51
99;consigna;Fem;Sing;1;NOUN;slogan;redondo_2005;1,461;9.57
100;consulta;Fem;Sing;1;NOUN;query;redondo_2005;5,715;37.46
101;contestación;Fem;Sing;1;NOUN;reply;redondo_2005;979;6.41
102;continuidad;Fem;Sing;1;NOUN;continuity;redondo_2005;4,874;31.94
103;contrario;Masc;Sing;1;NOUN;contrary;redondo_2005;22,957;150.48
104;cordura;Fem;Sing;1;NOUN;sanity;redondo_2005;481;3.15
105;corrección;Fem;Sing;1;NOUN;correction;redondo_2005;2,08;13.63
106;corte;Fem;Sing;1;NOUN;cut;redondo_2005;14,735;96.58
107;cruz;Fem;Sing;1;NOUN;cross;redondo_2005;13,396;87.80
108;cualidad;Fem;Sing;1;NOUN;quality;redondo_2005;1,65;10.81
109;cuervo;Masc;Sing;1;NOUN;Raven;redondo_2005;904;5.92
110;cueva;Fem;Sing;1;NOUN;cave;redondo_2005;1,748;11.45
111;cura;Masc;Sing;1;NOUN;cure;redondo_2005;4,727;30.98
112;curso;Masc;Sing;1;NOUN;course;redondo_2005;14,29;93.66
113;danza;Fem;Sing;1;NOUN;dance;redondo_2005;5,173;33.90
114;década;Fem;Sing;1;NOUN;decade;redondo_2005;9,979;65.41
115;declaración;Fem;Sing;1;NOUN;statement;redondo_2005;10,031;65.75
116;decoro;Masc;Sing;1;NOUN;decorum;redondo_2005;427;2.79
117;decreto;Masc;Sing;1;NOUN;decree;redondo_2005;7,947;52.09
118;deleite;Masc;Sing;1;NOUN;delight;redondo_2005;616;4.03
119;democracia;Fem;Sing;1;NOUN;democracy;redondo_2005;16,159;105.92
120;demora;Fem;Sing;1;NOUN;delay;redondo_2005;1,382;9.05
121;depresión;Fem;Sing;1;NOUN;depression;redondo_2005;6,802;44.58
122;derecha;Fem;Sing;1;NOUN;right;redondo_2005;19,049;124.86
123;desarrollo;Masc;Sing;1;NOUN;development;redondo_2005;48,378;317.11
124;despacho;Masc;Sing;1;NOUN;office;redondo_2005;6,756;44.28
125;desprecio;Masc;Sing;1;NOUN;contempt;redondo_2005;2,498;16.37
126;desviación;Fem;Sing;1;NOUN;deviation;redondo_2005;1,033;6.77
127;detención;Fem;Sing;1;NOUN;detention;redondo_2005;4,005;26.25
128;diccionario;Masc;Sing;1;NOUN;dictionary;redondo_2005;2,124;13.92
129;dictadura;Fem;Sing;1;NOUN;dictatorship;redondo_2005;5,726;37.53
130;dictamen;Masc;Sing;1;NOUN;opinion;redondo_2005;1,93;12.65
131;dificultad;Fem;Sing;1;NOUN;difficulty;redondo_2005;6,181;40.51
132;diputación;Fem;Sing;1;NOUN;deputation;redondo_2005;2,242;14.69
133;disertación;Fem;Sing;1;NOUN;dissertation;redondo_2005;227;1.48
134;disputa;Fem;Sing;1;NOUN;dispute;redondo_2005;2,38;15.60
135;distancia;Fem;Sing;1;NOUN;distance;redondo_2005;13,446;88.13
136;distrito;Masc;Sing;1;NOUN;district;redondo_2005;5,495;36.01
137;divorcio;Masc;Sing;1;NOUN;divorce;redondo_2005;2,064;13.52
138;dogma;Masc;Sing;1;NOUN;dogma;redondo_2005;597;3.91
139;dominio;Masc;Sing;1;NOUN;domain;redondo_2005;6,944;45.51
140;edición;Fem;Sing;1;NOUN;edition;redondo_2005;10,301;67.52
141;ejemplo;Masc;Sing;1;NOUN;example;redondo_2005;51,803;339.56
142;ejército;Masc;Sing;1;NOUN;army;redondo_2005;18,9;123.88
143;electricidad;Fem;Sing;1;NOUN;electricity;redondo_2005;3,489;22.86
144;embajada;Fem;Sing;1;NOUN;embassy;redondo_2005;4,295;28.15
145;empleo;Masc;Sing;1;NOUN;job;redondo_2005;13,252;86.86
146;encanto;Masc;Sing;1;NOUN;charm;redondo_2005;1,921;12.59
147;encargo;Masc;Sing;1;NOUN;charge;redondo_2005;2,042;13.38
148;energía;Fem;Sing;1;NOUN;Energy;redondo_2005;22,241;145.78
149;enlace;Masc;Sing;1;NOUN;link;redondo_2005;2,088;13.68
150;enmienda;Fem;Sing;1;NOUN;amendment;redondo_2005;1,399;9.17
151;enojo;Masc;Sing;1;NOUN;anger;redondo_2005;594;3.89
152;ensayo;Masc;Sing;1;NOUN;test;redondo_2005;4,402;28.85
153;entendimiento;Masc;Sing;1;NOUN;understanding;redondo_2005;2,914;19.10
154;entrega;Fem;Sing;1;NOUN;delivery;redondo_2005;8,628;56.55
155;escalera;Fem;Sing;1;NOUN;stairs;redondo_2005;4,019;26.34
156;escaparate;Masc;Sing;1;NOUN;showcase;redondo_2005;783;5.13
157;escena;Fem;Sing;1;NOUN;scene;redondo_2005;12,475;81.77
158;escondite;Masc;Sing;1;NOUN;hiding place;redondo_2005;577;3.78
159;escopeta;Fem;Sing;1;NOUN;shotgun;redondo_2005;830;5.44
160;espectro;Masc;Sing;1;NOUN;spectrum;redondo_2005;2,272;14.89
161;espuma;Fem;Sing;1;NOUN;foam;redondo_2005;1,352;8.86
162;estabilidad;Fem;Sing;1;NOUN;stability;redondo_2005;5,966;39.10
163;esterilidad;Fem;Sing;1;NOUN;sterility;redondo_2005;495;3.24
164;estudio;Masc;Sing;1;NOUN;study;redondo_2005;28,64;187.73
165;evocación;Fem;Sing;1;NOUN;evocation;redondo_2005;802;5.25
166;exigencia;Fem;Sing;1;NOUN;requirement;redondo_2005;2,842;18.62
167;existencia;Fem;Sing;1;NOUN;existence;redondo_2005;19,997;131.07
168;expedición;Fem;Sing;1;NOUN;expedition;redondo_2005;2,464;16.15
169;explosión;Fem;Sing;1;NOUN;explosion;redondo_2005;3,824;25.06
170;expresión;Fem;Sing;1;NOUN;expression;redondo_2005;16,966;111.20
171;extrañeza;Fem;Sing;1;NOUN;strangeness;redondo_2005;1,039;6.81
172;fábrica;Fem;Sing;1;NOUN;factory;redondo_2005;4,068;26.66
173;fábula;Fem;Sing;1;NOUN;fable;redondo_2005;735;4.81
174;familia;Fem;Sing;1;NOUN;family;redondo_2005;37,376;244.99
175;fantasma;;Sing;1;NOUN;ghost;redondo_2005;2,699;17.69
176;farsa;Fem;Sing;1;NOUN;farce;redondo_2005;887;5.81
177;favor;Masc;Sing;1;NOUN;favor;redondo_2005;21,818;143.01
178;faz;Fem;Sing;1;NOUN;face;redondo_2005;717;4.69
179;ferrocarril;Masc;Sing;1;NOUN;railway;redondo_2005;2,084;13.66
180;fervor;Masc;Sing;1;NOUN;fervor;redondo_2005;1,084;7.10
181;fiel;;Sing;1;NOUN;faithful;redondo_2005;4,05;26.54
182;flora;Fem;Sing;1;NOUN;flora;redondo_2005;1,967;12.89
183;flota;Fem;Sing;1;NOUN;fleet;redondo_2005;2,615;17.14
184;forma;Fem;Sing;1;NOUN;shape;redondo_2005;97,165;636.90
185;formación;Fem;Sing;1;NOUN;training;redondo_2005;18,743;122.85
186;fortaleza;Fem;Sing;1;NOUN;strength;redondo_2005;2,828;18.53
187;frase;Fem;Sing;1;NOUN;sentence;redondo_2005;8,597;56.35
188;fraternidad;Fem;Sing;1;NOUN;fraternity;redondo_2005;704;4.61
189;frente;;;1;NOUN;front;redondo_2005;61,469;402.92
190;fronda;Fem;Sing;1;NOUN;frond;redondo_2005;172;1.12
191;fruto;Masc;Sing;1;NOUN;fruit;redondo_2005;5,069;33.22
192;función;Fem;Sing;1;NOUN;function;redondo_2005;22,148;145.17
193;furia;Fem;Sing;1;NOUN;fury;redondo_2005;2,086;13.67
194;garantía;Fem;Sing;1;NOUN;warranty;redondo_2005;4,425;29.00
195;garganta;Fem;Sing;1;NOUN;throat;redondo_2005;2,825;18.51
196;gasto;Masc;Sing;1;NOUN;spending;redondo_2005;6,327;41.47
197;gestión;Fem;Sing;1;NOUN;management;redondo_2005;12,826;84.07
198;giro;Masc;Sing;3;ADJ;turn;redondo_2005;3,276;21.47
199;glándula;Fem;Sing;1;NOUN;gland;redondo_2005;590;3.86
200;gobernador;Masc;Sing;1;NOUN;governor;redondo_2005;8,962;58.74
201;gracia;Fem;Sing;1;NOUN;Grace;redondo_2005;6,612;43.34
202;grupo;Masc;Sing;1;NOUN;group;redondo_2005;65,39;428.62
203;guante;Masc;Sing;1;NOUN;glove;redondo_2005;734;4.81
204;hacienda;Fem;Sing;1;NOUN;estate;redondo_2005;8,614;56.46
205;hegemonía;Fem;Sing;1;NOUN;hegemony;redondo_2005;1,636;10.72
206;herencia;Fem;Sing;1;NOUN;heritage;redondo_2005;3,634;23.82
207;hidalguía;Fem;Sing;1;NOUN;nobility;redondo_2005;129;0.84
208;hielo;Masc;Sing;1;NOUN;ice;redondo_2005;3,19;20.91
209;hierba;Fem;Sing;1;NOUN;grass;redondo_2005;1,944;12.74
210;hijo;Masc;Sing;1;NOUN;son;redondo_2005;30,298;198.59
211;honda;Fem;Sing;1;NOUN;sling;redondo_2005;1,501;9.83
212;horror;Masc;Sing;1;NOUN;horror;redondo_2005;2,947;19.31
213;hueco;Masc;Sing;3;ADJ;hole;redondo_2005;2,639;17.29
214;humildad;Fem;Sing;1;NOUN;humility;redondo_2005;1,215;7.96
215;idea;Fem;Sing;1;NOUN;idea;redondo_2005;29,613;194.10
216;ideal;;Sing;1;NOUN;ideal;redondo_2005;7,224;47.35
217;identidad;Fem;Sing;1;NOUN;identity;redondo_2005;10,086;66.11
218;ilusión;Fem;Sing;1;NOUN;delusion;redondo_2005;4,772;31.27
219;impaciencia;Fem;Sing;1;NOUN;impatience;redondo_2005;1,183;7.75
220;importación;Fem;Sing;1;NOUN;import;redondo_2005;2,121;13.90
221;imposibilidad;Fem;Sing;1;NOUN;impossibility;redondo_2005;2,352;15.41
222;impuesto;Masc;Sing;1;NOUN;tax;redondo_2005;7,103;46.55
223;ingenio;Masc;Sing;1;NOUN;ingenuity;redondo_2005;1,97;12.91
224;ingenuidad;Fem;Sing;1;NOUN;naivety;redondo_2005;1,027;6.73
225;injuria;Fem;Sing;1;NOUN;insult;redondo_2005;318;2.08
226;inscripción;Fem;Sing;1;NOUN;inscription;redondo_2005;2,375;15.56
227;institución;Fem;Sing;1;NOUN;institution;redondo_2005;10,916;71.55
228;invención;Fem;Sing;1;NOUN;invention;redondo_2005;1,684;11.03
229;jefe;Masc;Sing;1;NOUN;boss;redondo_2005;25,526;167.31
230;jerarquía;Fem;Sing;1;NOUN;hierarchy;redondo_2005;2,241;14.68
231;jornal;Masc;Sing;1;NOUN;wage;redondo_2005;202;1.32
232;juez;;Sing;1;NOUN;judge;redondo_2005;17,328;113.58
233;juramento;Masc;Sing;1;NOUN;oath;redondo_2005;922;6.04
234;labrador;Masc;Sing;1;NOUN;Labrador;redondo_2005;285;1.86
235;ladrillo;Masc;Sing;1;NOUN;brick;redondo_2005;1,144;7.49
236;lago;Masc;Sing;1;NOUN;lake;redondo_2005;3,791;24.84
237;lana;Fem;Sing;1;NOUN;wool;redondo_2005;1,949;12.77
238;lealtad;Fem;Sing;1;NOUN;loyalty;redondo_2005;1,741;11.41
239;lecho;Masc;Sing;1;NOUN;bed;redondo_2005;2,42;15.86
240;lejanía;Fem;Sing;1;NOUN;remoteness;redondo_2005;911;5.97
241;lenguaje;Masc;Sing;1;NOUN;language;redondo_2005;14,27;93.53
242;lesión;Fem;Sing;1;NOUN;injury;redondo_2005;3,111;20.39
243;libertad;Fem;Sing;1;NOUN;freedom;redondo_2005;29,119;190.87
244;linaje;Masc;Sing;1;NOUN;lineage;redondo_2005;566;3.71
245;litro;Masc;Sing;1;NOUN;liter;redondo_2005;2,404;15.75
246;llama;;;1;NOUN;call;redondo_2005;14,903;97.68
247;llano;Masc;Sing;3;ADJ;flat;redondo_2005;1,473;9.65
248;llegada;Fem;Sing;1;NOUN;arrival;redondo_2005;10,23;67.05
249;longitud;Fem;Sing;1;NOUN;length;redondo_2005;3,459;22.67
250;lumbrera;Fem;Sing;1;NOUN;port;redondo_2005;40;0.26
251;luminosidad;Fem;Sing;1;NOUN;brightness;redondo_2005;863;5.65
252;luz;Fem;Sing;1;NOUN;light;redondo_2005;34,617;226.90
253;madurez;Fem;Sing;1;NOUN;maturity;redondo_2005;2,702;17.71
254;maestro;Masc;Sing;3;ADJ;teacher;redondo_2005;11,975;78.49
255;maíz;Masc;Sing;1;NOUN;corn;redondo_2005;4,014;26.31
256;manantial;Masc;Sing;1;NOUN;spring;redondo_2005;580;3.80
257;manejo;Masc;Sing;1;NOUN;driving;redondo_2005;6,072;39.80
258;manifestación;Fem;Sing;1;NOUN;manifestation;redondo_2005;5,859;38.40
259;manto;Masc;Sing;1;NOUN;mantle;redondo_2005;1,469;9.62
260;marqués;Masc;Sing;1;NOUN;marquis;redondo_2005;2,923;19.15
261;martillo;Masc;Sing;1;NOUN;hammer;redondo_2005;670;4.39
262;martirio;Masc;Sing;1;NOUN;martyrdom;redondo_2005;1,339;8.77
263;matemática;Fem;Sing;1;NOUN;math;redondo_2005;1,49;9.76
264;materia;Fem;Sing;1;NOUN;matter;redondo_2005;17,468;114.50
265;media;Fem;Sing;1;NOUN;half;redondo_2005;28,292;185.45
266;metro;Masc;Sing;1;NOUN;subway;redondo_2005;5,429;35.58
267;miel;Fem;Sing;1;NOUN;honey;redondo_2005;3,335;21.86
268;milicia;Fem;Sing;1;NOUN;militia;redondo_2005;541;3.54
269;milla;Fem;Sing;1;NOUN;mile;redondo_2005;492;3.22
270;ministerio;Masc;Sing;1;NOUN;ministry;redondo_2005;23,781;155.88
271;misa;Fem;Sing;1;NOUN;mass;redondo_2005;3,983;26.10
272;misterio;Masc;Sing;1;NOUN;mystery;redondo_2005;4,345;28.48
273;mitad;Fem;Sing;1;NOUN;half;redondo_2005;17,705;116.05
274;mocedad;Fem;Sing;1;NOUN;youth;redondo_2005;86;0.56
275;monarquía;Fem;Sing;1;NOUN;monarchy;redondo_2005;2,873;18.83
276;monje;Masc;Sing;1;NOUN;monk;redondo_2005;894;5.86
277;montaña;Fem;Sing;1;NOUN;Montana;redondo_2005;5,727;37.53
278;montón;Masc;Sing;1;NOUN;heap;redondo_2005;2,654;17.39
279;mosca;Fem;Sing;1;NOUN;fly;redondo_2005;1,131;7.41
280;motor;Masc;Sing;1;NOUN;motor;redondo_2005;5,515;36.15
281;mozo;Masc;Sing;3;ADJ;waiter;redondo_2005;1,343;8.80
282;muchedumbre;Fem;Sing;1;NOUN;crowd;redondo_2005;961;6.29
283;muestra;Fem;Sing;1;NOUN;sample;redondo_2005;20,563;134.78
284;mundo;Masc;Sing;1;NOUN;world;redondo_2005;101,745;666.92
285;munición;Fem;Sing;1;NOUN;ammunition;redondo_2005;426;2.79
286;municipio;Masc;Sing;1;NOUN;municipality;redondo_2005;5,1;33.42
287;músculo;Masc;Sing;1;NOUN;muscle;redondo_2005;1,961;12.85
288;música;Fem;Sing;1;NOUN;music;redondo_2005;30,968;202.99
289;nariz;Fem;Sing;1;NOUN;nose;redondo_2005;4,729;30.99
290;niebla;Fem;Sing;1;NOUN;fog;redondo_2005;1,925;12.61
291;niño;Masc;Sing;1;NOUN;child;redondo_2005;27,157;178.01
292;noche;Fem;Sing;1;NOUN;night;redondo_2005;55,281;362.35
293;nombre;Masc;Sing;1;NOUN;Name;redondo_2005;42,284;277.16
294;novela;Fem;Sing;1;NOUN;novel;redondo_2005;13,361;87.57
295;objetivo;Masc;Sing;3;ADJ;objective;redondo_2005;21,097;138.28
296;objeto;Masc;Sing;1;NOUN;object;redondo_2005;21,336;139.85
297;obligación;Fem;Sing;1;NOUN;obligation;redondo_2005;5,752;37.70
298;obra;Fem;Sing;1;NOUN;work;redondo_2005;44,308;290.43
299;ocasión;Fem;Sing;1;NOUN;chance;redondo_2005;15,924;104.37
300;ocupación;Fem;Sing;1;NOUN;occupation;redondo_2005;3,713;24.33
301;oficina;Fem;Sing;1;NOUN;office;redondo_2005;9,4;61.61
302;olvido;Masc;Sing;1;NOUN;forget;redondo_2005;3,883;25.45
303;opinión;Fem;Sing;1;NOUN;opinion;redondo_2005;20,927;137.17
304;oportunidad;Fem;Sing;1;NOUN;opportunity;redondo_2005;13,103;85.88
305;optimismo;Masc;Sing;1;NOUN;optimism;redondo_2005;2,505;16.41
306;oración;Fem;Sing;1;NOUN;sentence;redondo_2005;1,959;12.84
307;organización;Fem;Sing;1;NOUN;organization;redondo_2005;25,647;168.11
308;orgullo;Masc;Sing;1;NOUN;pride;redondo_2005;4,234;27.75
309;orientación;Fem;Sing;1;NOUN;orientation;redondo_2005;5,144;33.71
310;oriente;Masc;Sing;1;NOUN;East;redondo_2005;5,752;37.70
311;origen;Masc;Sing;1;NOUN;origin;redondo_2005;21,055;138.01
312;orquesta;Fem;Sing;1;NOUN;orchestra;redondo_2005;5,417;35.50
313;país;Masc;Sing;1;NOUN;country;redondo_2005;104,568;685.42
314;palma;Fem;Sing;1;NOUN;palm;redondo_2005;4,339;28.44
315;pantalón;Masc;Sing;1;NOUN;trousers;redondo_2005;2,3;15.07
316;pared;Fem;Sing;1;NOUN;wall;redondo_2005;6,797;44.55
317;párrafo;Masc;Sing;1;NOUN;paragraph;redondo_2005;2,799;18.34
318;parte;Fem;Sing;1;NOUN;part;redondo_2005;148,75;975.03
319;participación;Fem;Sing;1;NOUN;participation;redondo_2005;18,598;121.90
320;pasta;Fem;Sing;1;NOUN;pasta;redondo_2005;3,029;19.85
321;pastor;Masc;Sing;1;NOUN;Shepherd;redondo_2005;2,565;16.81
322;pata;Fem;Sing;1;NOUN;paw;redondo_2005;1,837;12.04
323;patio;Masc;Sing;1;NOUN;yard;redondo_2005;5,935;38.90
324;patria;Fem;Sing;1;NOUN;homeland;redondo_2005;7,506;49.20
325;patronato;Masc;Sing;1;NOUN;patronage;redondo_2005;1,16;7.60
326;pausa;Fem;Sing;1;NOUN;pause;redondo_2005;6,288;41.21
327;pavor;Masc;Sing;1;NOUN;dread;redondo_2005;542;3.55
328;paz;Fem;Sing;1;NOUN;peace;redondo_2005;28,159;184.57
329;pecho;Masc;Sing;1;NOUN;chest;redondo_2005;7,617;49.92
330;pedazo;Masc;Sing;1;NOUN;piece;redondo_2005;1,736;11.37
331;peligro;Masc;Sing;1;NOUN;danger;redondo_2005;12,498;81.92
332;pena;Fem;Sing;1;NOUN;pain;redondo_2005;12,272;80.44
333;península;Fem;Sing;1;NOUN;peninsula;redondo_2005;3,888;25.48
334;pensión;Fem;Sing;1;NOUN;pension;redondo_2005;2,54;16.64
335;periodista;;Sing;1;NOUN;journalist;redondo_2005;8,547;56.02
336;perro;Masc;Sing;1;NOUN;dog;redondo_2005;6,786;44.48
337;pesadilla;Fem;Sing;1;NOUN;nightmare;redondo_2005;2,248;14.73
338;pestaña;Fem;Sing;1;NOUN;eyelash;redondo_2005;301;1.97
339;piropo;Masc;Sing;1;NOUN;compliment;redondo_2005;140;0.91
340;placa;Fem;Sing;1;NOUN;license plate;redondo_2005;2,314;15.16
341;planeta;Masc;Sing;1;NOUN;planet;redondo_2005;7,142;46.81
342;plano;Masc;Sing;3;ADJ;flat;redondo_2005;10,939;71.70
343;plato;Masc;Sing;1;NOUN;plate;redondo_2005;4,641;30.42
344;pleito;Masc;Sing;1;NOUN;lawsuit;redondo_2005;887;5.81
345;pobreza;Fem;Sing;1;NOUN;poverty;redondo_2005;6,007;39.37
346;poeta;Masc;Sing;1;NOUN;poet;redondo_2005;9,572;62.74
347;policía;;Sing;1;NOUN;policeman;redondo_2005;31,598;207.12
348;política;Fem;Sing;1;NOUN;politics;redondo_2005;73,464;481.54
349;pólvora;Fem;Sing;1;NOUN;gunpowder;redondo_2005;987;6.46
350;portería;Fem;Sing;1;NOUN;goal;redondo_2005;861;5.64
351;precisión;Fem;Sing;1;NOUN;precision;redondo_2005;4,257;27.90
352;pregón;Masc;Sing;1;NOUN;proclamation;redondo_2005;260;1.70
353;prejuicio;Masc;Sing;1;NOUN;prejudice;redondo_2005;632;4.14
354;presencia;Fem;Sing;1;NOUN;presence;redondo_2005;30,426;199.43
355;presentación;Fem;Sing;1;NOUN;presentation;redondo_2005;10,008;65.60
356;presidencia;Fem;Sing;1;NOUN;presidency;redondo_2005;11,004;72.12
