id,palabra,edad_de_adquisicion_m,edad_de_adquisicion_sd,categoria_palabra
69,"día",3.62,1.576,2
70,"dni",8.90,1.810,2
71,"don",6.24,2.654,2
72,"dos",2.24,1.098,4
73,"doy",4.06,1.583,1
74,"dúo",8.10,1.982,2
75,"eco",5.44,1.752,2
76,"efe",5.20,2.755,2
77,"eme",4.10,2.384,2
78,"ene",5.31,2.443,2
79,"era",8.00,2.399,1
80,"esa",4.24,2.361,4
81,"ésa",3.82,2.537,4
82,"ese",3.80,2.695,4
83,"ése",4.04,2.204,4
84,"eso",3.22,1.941,4
85,"eta",9.98,1.286,2
86,"fan",8.34,2.125,2
87,"fax",9.18,1.612,2
88,"faz",9.84,1.670,2
89,"fea",3.22,1.266,3
90,"feo",3.00,1.578,3
91,"fin",4.74,1.782,2
92,"fue",4.74,2.337,1
93,"fui",4.50,2.131,1
94,"gas",7.52,2.188,2
95,"gay",9.72,1.852,3
96,"gel",4.18,2.106,2
97,"gol",4.86,2.090,2
98,"han",6.10,2.565,1
99,"has",5.82,2.569,1
100,"hay",4.04,2.020,1
101,"haz",8.34,2.455,2
102,"hoy",3.40,1.738,4
103,"iba",4.62,1.978,1
104,"ida",6.56,2.287,2
105,"ido",6.52,1.843,1
106,"ira",9.18,1.625,2
107,"las",3.42,1.864,4
108,"leo",5.74,2.414,2
109,"les",5.20,2.763,4
110,"ley",8.54,1.876,2
111,"lío",6.59,1.743,2
112,"los",3.68,1.921,4
113,"luz",3.18,1.699,2
114,"mal",3.50,2.476,2
115,"mar",3.10,1.832,2
116,"más",3.34,1.944,4
117,"mes",4.50,1.594,2
118,"mía",3.08,1.209,4
119,"mil",6.36,1.467,2
120,"mío",2.36,1.687,4
121,"mis",3.68,2.104,4
122,"mus",8.86,2.176,2
123,"muy",3.76,2.036,4
124,"nos",5.62,1.926,4
125,"oda",10.36,1.382,2
126,"oír",3.70,1.832,1
127,"ojo",2.72,1.499,2
128,"ong",9.78,1.741,4
129,"oro",5.42,2.167,2
130,"oso",3.36,1.601,2
131,"oye",3.62,1.883,1
132,"pan",2.32,1.449,2
133,"par",6.72,1.949,2
134,"paz",5.54,1.681,2
135,"pez",2.40,1.212,2
136,"pie",2.42,1.326,2
137,"pis",1.80,0.948,2
138,"pop",8.00,1.784,3
139,"por",4.56,2.589,4
140,"púa",8.18,2.247,2
141,"pub",10.32,1.571,2
142,"puf",8.40,2.983,2
143,"pus",6.60,2.650,2
144,"que",3.00,1.690,4
145,"qué",3.80,2.441,4
146,"red",6.48,2.092,2
147,"reo",10.44,1.514,3
148,"rey",4.50,1.876,2
149,"río",4.88,1.480,2
150,"ron",9.34,2.560,2
151,"sal",4.60,1.807,2
152,"san",5.92,2.660,2
153,"sea",7.06,2.035,1
154,"sed",2.54,1.515,2
155,"ser",7.02,2.386,1
156,"sin",5.00,2.148,4
157,"sms",10.62,0.697,4
158,"soe",8.63,3.099,2
159,"sol",2.92,1.469,2
160,"son",5.84,2.621,1
161,"sos",9.30,1.717,2
162,"soy",3.32,1.921,1
163,"sur",6.14,1.750,2
164,"sus",4.58,2.091,4
165,"tal",6.88,2.115,4
166,"tan",4.88,2.488,4
167,"ten",5.78,2.652,2
168,"tía",3.12,1.586,2
169,"tío",4.46,3.112,2
170,"top",7.88,2.318,2
171,"tos",4.32,1.647,2
172,"tus",4.24,2.446,4
173,"tve",6.26,2.834,2
174,"una",2.95,1.246,4
175,"uno",2.21,0.743,4
176,"uña",3.80,1.796,2
177,"uso",6.70,2.410,2
178,"uva",4.46,2.043,2
179,"uve",6.16,2.452,2
180,"van",4.48,2.140,1
181,"vas",4.29,2.363,1
182,"vea",5.76,2.487,1
183,"ven",3.38,1.783,1
184,"veo",3.00,1.385,1
185,"ver",2.72,1.443,1
186,"ves",4.10,1.887,1
187,"vez",5.20,2.814,2
188,"vía",7.30,2.306,2
189,"vid",8.10,2.501,2
190,"voy",3.52,1.776,1
191,"voz",3.52,2.063,2
192,"web",10.20,1.702,3
193,"yen",10.40,1.031,2
194,"zoo",4.54,1.656,2
195,"acre",10.64,0.827,2
196,"acto",8.16,1.952,2
197,"adán",6.04,2.070,2
198,"ágil",7.68,2.123,3
199,"agua",1.94,1.150,2
200,"aire",4.38,1.978,2
201,"alas",3.62,1.398,2
202,"alba",8.28,2.157,2
203,"algo",4.40,2.268,4
204,"allá",4.10,1.832,4
205,"allí",3.44,2.215,4
206,"alma",7.16,2.316,2
207,"alta",3.68,1.544,3
208,"alto",3.44,1.541,3
209,"amar",6.34,2.623,1
210,"amor",5.12,2.819,2
211,"anda",4.48,1.898,1
212,"ante",7.50,2.558,4
213,"añil",8.72,2.356,2
214,"años",2.86,1.841,2
215,"apio",8.74,2.202,2
216,"apto",8.62,1.662,3
217,"aquí",2.82,1.769,4
218,"arca",6.98,2.445,2
219,"arco",6.34,2.228,2
220,"área",9.04,1.616,2
221,"arma",6.44,1.939,2
222,"arpa",8.00,2.204,2
223,"arte",8.18,2.145,2
224,"asco",5.30,2.043,2
225,"aseo",5.60,2.523,2
226,"asno",5.16,2.307,2
227,"asta",8.64,2.183,2
228,"atar",4.44,1.775,1
229,"atún",4.34,1.218,2
230,"auge",10.54,0.885,2
231,"aula",5.32,2.263,2
232,"auto",5.24,2.568,2
233,"ayer",3.94,1.570,4
234,"azar",8.46,1.740,2
235,"azul",2.78,1.112,3
236,"baja",4.68,2.025,3
237,"bajo",4.32,1.622,4
238,"bala",6.78,1.993,2
239,"baño",3.66,1.934,2
240,"base",8.04,2.138,2
241,"bata",5.48,1.555,2
242,"bate",7.36,2.136,2
243,"baúl",6.14,2.382,2
244,"bebé",2.22,1.266,2
245,"beso",2.50,1.594,2
246,"bici",4.02,1.660,2
247,"bidé",5.12,1.891,2
248,"bien",2.84,1.910,4
249,"bobo",3.32,1.778,2
250,"boca",2.34,1.465,2
251,"boda",5.04,2.060,2
252,"body",7.94,2.104,2
253,"bola",3.90,1.594,2
254,"boli",5.08,1.978,2
255,"bono",8.42,1.885,2
256,"bota",3.98,1.943,2
257,"bote",5.36,2.284,2
258,"brío",10.40,1.278,2
259,"buen",4.82,1.976,3
260,"buey",6.06,1.984,2
261,"búho",5.22,1.632,2
262,"buró",10.30,1.555,2
263,"cabe",4.92,2.398,1
264,"cabo",8.90,1.810,2
265,"caca",1.92,1.140,2
266,"caco",8.62,2.740,2
267,"cada",4.98,2.045,4
268,"caer",3.22,1.799,1
269,"café",5.20,2.109,2
270,"caja",3.50,1.669,2
271,"cama",2.42,1.197,2
272,"caña",7.42,2.177,2
273,"caos",8.80,1.948,2
274,"capa",5.52,1.752,2
275,"cara",2.96,1.702,2
276,"caro",6.90,2.435,3
277,"casa",2.64,1.208,2
278,"casi",5.12,1.955,4
279,"caso",6.94,2.453,2
280,"cayó",4.38,2.194,1
281,"caza",6.60,2.020,2
282,"cazo",7.08,2.117,2
283,"ceja",4.26,1.411,2
284,"celo",7.56,2.612,2
285,"cena",3.92,1.676,2
286,"cera",4.34,2.479,2
287,"cero",3.60,1.471,2
288,"chal",9.50,1.669,2
289,"chat",10.56,0.787,2
290,"cien",6.14,1.726,2
291,"cima",8.18,1.616,2
292,"cine",5.70,2.197,2
293,"cita",8.44,1.950,2
294,"clip",7.06,2.123,2
295,"club",7.40,2.277,2
296,"coca",9.64,2.414,2
297,"codo",3.54,1.581,2
298,"coge",4.00,2.312,1
299,"coja",5.86,1.980,2
300,"cola",4.08,1.536,2
301,"coma",6.54,1.940,1
302,"como",4.24,1.923,4
303,"cómo",4.70,2.243,4
304,"coño",6.52,2.901,2
305,"copa",5.50,2.533,2
306,"coro",6.14,2.000,2
307,"cosa",3.02,1.464,2
308,"crea",5.32,2.180,1
309,"cree",5.74,1.805,1
310,"creo",4.68,1.932,1
311,"cría",5.86,2.391,2
312,"cruz",5.14,1.773,2
313,"cual",4.92,2.230,4
314,"cuba",8.18,1.826,2
315,"cubo",4.68,2.142,2
316,"culo",2.68,1.720,2
317,"cuna",2.48,1.216,2
318,"cura",5.68,2.272,2
319,"daba",5.34,1.923,1
320,"dado",4.34,2.182,1
321,"daga",9.56,1.939,2
322,"dama",6.94,2.106,2
323,"daño",4.42,2.031,2
324,"dato",8.40,1.773,2
325,"debe",6.18,2.097,1
326,"dedo",2.32,1.168,2
327,"deja",4.64,1.956,1
328,"dejo",5.46,2.012,2
329,"dejó",5.58,2.021,1
330,"días",3.44,1.181,2
331,"dice",4.50,2.234,1
332,"diez",3.54,1.487,4
333,"diga",5.54,2.131,1
334,"digo",5.04,2.138,1
335,"dije",4.30,1.898,1
336,"dijo",4.54,1.568,1
337,"dios",3.90,1.134,2
338,"doce",3.83,0.818,4
339,"doña",6.02,2.199,2
340,"duda",6.36,1.977,2
341,"dura",4.96,2.157,3
342,"duro",5.76,2.162,3
343,"edad",3.42,1.830,2
344,"edén",9.88,1.612,2
345,"ella",3.46,1.821,4
346,"ello",6.68,2.360,4
347,"ente",10.48,0.995,2
348,"eran",5.64,2.337,1
349,"eres",4.00,1.818,1
350,"erre",4.96,2.563,2
351,"esas",4.10,2.358,4
352,"eses",6.76,2.282,2
353,"esos",4.54,2.288,4
354,"esta",3.22,1.833,4
355,"ésta",4.10,2.225,4
356,"este",4.18,2.192,4
357,"esté",5.52,2.426,1
358,"éste",6.30,3.196,4
359,"esto",3.34,2.105,4
360,"euro",10.80,1.161,2
361,"faja",7.46,2.279,2
362,"fama",8.26,2.257,2
363,"faro",6.14,1.678,2
364,"fase",8.72,1.938,2
365,"fiel",8.96,1.937,3
366,"fijo",7.34,2.037,3
367,"fila",3.88,1.560,2
368,"fina",6.64,1.860,3
369,"fino",6.66,1.880,3
370,"flan",4.56,1.580,2
371,"flor",2.68,1.477,2
372,"foca",4.08,1.850,2
373,"foco",7.08,2.431,2
374,"fofo",6.34,2.833,3
375,"foto",3.62,1.828,2
376,"frac",10.36,1.321,2
377,"fría",3.46,1.740,3
378,"frío",3.00,1.443,2
379,"fuga",7.64,2.947,2
380,"gafa",5.06,1.867,2
381,"gala",7.86,1.885,2
382,"gamo",10.46,1.432,2
383,"gana",4.08,1.652,1
384,"ganó",4.34,1.975,1
385,"gato",2.40,1.030,2
386,"gema",7.12,2.537,2
387,"giro",5.18,2.274,2
388,"goce",8.39,3.226,2
389,"golf",7.32,2.055,2
390,"goma",3.88,1.335,2
391,"gozo",8.46,1.951,2
392,"gran",5.18,1.837,3
393,"gris",3.92,1.766,3
394,"guía",7.60,2.148,2
395,"hace",4.74,2.372,1
396,"hada",3.86,1.616,2
397,"haga",6.32,2.015,1
398,"hago",4.88,2.191,1
399,"hall",9.74,1.946,2
400,"haya",7.14,2.391,1
401,"heno",9.46,1.961,2
402,"hice",4.68,1.984,1
403,"higo",5.80,2.030,2
404,"hija",3.58,1.579,2
405,"hijo",3.08,1.967,2
406,"hilo",4.28,1.666,2
407,"hizo",5.58,2.365,1
408,"hoja",3.88,1.423,2
409,"hola",1.62,0.967,4
410,"hora",4.94,1.557,2
411,"hoyo",4.92,2.069,2
412,"hubo",6.82,2.173,1
413,"huir",7.22,1.855,1
414,"humo",4.06,1.878,2
415,"iban",5.74,2.048,1
416,"ibas",5.36,2.038,1
417,"idea",6.64,1.946,2
418,"iglú",6.96,2.176,2
419,"iraq",10.14,1.212,2
420,"iris",8.22,2.418,2
421,"irse",4.66,1.791,1
422,"isla",4.42,1.896,2
423,"jazz",8.86,2.000,3
424,"jefe",6.60,2.259,2
425,"josé",3.80,2.090,2
426,"jota",7.29,2.606,2
427,"joya",5.18,1.913,2
428,"juan",3.52,1.657,2
429,"juez",8.44,2.062,2
430,"jugo",3.84,2.216,2
431,"kilo",6.54,2.197,2
432,"kiwi",5.22,1.753,2
433,"lado",4.38,2.098,2
434,"lago",6.10,2.102,2
435,"lala",3.37,2.789,2
436,"lana",6.08,2.108,2
437,"lata",4.06,1.268,2
438,"lava",6.82,1.966,1
439,"lazo",3.64,1.687,2
440,"leal",9.32,1.596,3
441,"leer",4.10,1.165,1
442,"leña",6.22,2.306,2
443,"león",2.98,1.317,2
444,"leve",8.30,2.159,3
445,"liga",6.16,2.902,2
446,"lima",7.52,2.053,2
447,"lino",8.69,2.143,2
448,"lion",8.38,2.329,2
449,"lira",9.76,1.652,2
450,"lisa",5.08,1.998,2
451,"liso",4.78,2.003,3
452,"lobo",3.70,1.705,2
453,"loca",4.98,1.900,3
454,"loco",4.66,2.037,3
455,"loma",9.12,1.856,2
456,"lomo",7.20,2.449,2
457,"lord",10.40,1.245,2
458,"loro",3.90,1.581,2
459,"lote",8.20,2.185,2
460,"luis",4.16,1.845,2
461,"lujo",7.68,2.035,2
462,"luna",3.80,1.604,2
463,"lupa",6.22,1.741,2
464,"luto",8.56,2.101,2
465,"mago",4.42,2.081,2
466,"mail",10.24,1.318,2
467,"maíz",5.38,2.165,2
468,"mala",3.48,1.693,3
469,"malo",3.36,1.638,3
470,"mamá",1.12,0.328,2
471,"mano",2.22,1.234,2
472,"maña",8.84,1.995,2
473,"mapa",6.06,1.646,2
474,"masa",7.80,2.603,2
475,"mate",8.24,2.420,1
476,"maya",7.64,2.617,2
477,"mayo",5.30,1.282,4
478,"mesa",2.96,1.498,2
479,"meta",7.14,2.213,2
480,"mete",4.24,1.869,1
481,"miel",4.42,1.691,2
482,"mili",8.60,2.050,2
483,"mina",7.80,2.030,2
484,"mira",3.34,1.912,1
485,"mire",5.72,2.259,1
486,"misa",5.72,1.990,2
487,"mito",9.20,1.884,2
488,"moco",2.84,1.149,2
489,"moda",7.86,2.080,2
490,"modo",7.08,1.883,2
491,"moho",8.18,1.976,2
492,"mona",4.66,1.891,2
493,"mono",2.90,1.298,2
494,"moño",4.90,2.033,2
495,"mora",4.82,2.145,2
496,"mote",8.18,2.201,2
497,"moto",3.72,1.885,2
498,"mozo",8.40,1.927,2
499,"mudo",6.34,2.134,3
500,"mula",5.60,2.109,2
501,"mulo",7.45,2.807,2
502,"muro",4.52,1.741,2
503,"musa",9.94,1.621,2
504,"nada",3.34,1.902,4
505,"nana",3.80,2.703,2
506,"nasa",9.52,1.581,2
507,"nata",5.00,1.938,3
508,"nave",5.34,1.661,2
509,"nene",2.20,1.604,2
510,"nido",4.42,1.592,2
511,"niña",1.96,0.856,2
512,"niño",2.44,1.373,2
513,"nono",5.54,3.975,2
514,"nota",5.27,1.693,1
515,"nube",3.04,1.641,2
516,"nuca",6.88,2.430,2
517,"nudo",5.08,2.049,2
518,"nuez",5.46,2.131,2
519,"nula",9.42,1.416,3
520,"nulo",8.34,1.965,3
521,"obra",6.78,2.122,2
522,"ocho",3.76,1.506,4
523,"ocio",8.72,1.785,2
524,"odio",6.08,2.423,2
525,"oído",4.24,2.046,2
526,"oiga",5.76,2.036,1
527,"ojal",8.90,2.206,2
528,"ojos",2.66,1.394,2
529,"olas",4.14,1.807,2
530,"óleo",8.74,1.946,2
531,"oler",3.72,1.949,1
532,"olla",6.16,2.198,2
533,"olor",3.80,1.948,2
534,"once",4.40,1.355,4
535,"onda",8.20,2.312,2
536,"oral",8.42,1.703,3
537,"orar",7.36,2.238,1
538,"orbe",10.64,0.749,2
539,"ósea",10.02,1.672,3
540,"otan",10.54,0.788,2
541,"otra",3.36,1.626,4
542,"otro",4.66,2.026,4
543,"ovni",8.66,1.934,2
544,"oyes",4.40,1.750,1
545,"pack",9.28,1.990,2
546,"paga",7.58,1.853,1
547,"pago",7.42,1.918,2
548,"país",6.28,1.727,2
549,"paja",7.00,2.090,2
550,"pala",4.42,1.918,2
551,"palo",4.52,2.460,2
552,"pana",8.04,2.254,3
553,"paño",4.88,2.282,2
554,"papa",2.20,1.818,2
555,"papá",1.74,1.065,2
556,"para",3.62,2.175,4
557,"paro",9.42,1.592,2
558,"pasa",4.46,2.314,1
559,"pase",5.98,2.454,1
560,"paso",3.92,2.174,2
561,"pasó",4.82,2.007,1
562,"pata",4.10,2.053,2
563,"pato",3.06,1.284,2
564,"payo",9.78,1.196,2
565,"pedo",3.30,1.432,2
566,"pelo",2.60,1.309,2
567,"pena",6.96,2.449,2
568,"pene",6.50,2.270,2
569,"peor",4.74,1.904,3
570,"pera",2.84,1.267,2
571,"pero",4.92,2.346,4
572,"peso",5.28,2.080,2
573,"peto",6.24,2.370,2
574,"pica",3.28,1.691,2
575,"pico",5.14,1.852,2
576,"pide",4.20,1.895,1
577,"pido",4.04,2.109,1
578,"piel",3.76,2.066,2
579,"pies",3.58,1.727,2
580,"pijo",9.18,1.859,3
581,"pila",5.18,1.792,2
582,"pino",4.76,2.016,2
583,"piña",4.20,2.020,2
584,"pipa",5.78,2.033,2
585,"piso",5.64,2.380,2
586,"pito",4.18,1.815,2
587,"plan",7.44,1.897,2
588,"plus",9.50,1.961,2
589,"poca",4.72,2.000,4
590,"poco",2.94,1.476,4
591,"polo",3.96,2.321,2
592,"pomo",7.66,2.353,2
593,"pone",3.72,2.129,1
594,"pozo",5.84,1.595,2
595,"púas",7.22,2.660,2
596,"pues",6.04,2.303,4
597,"puma",6.92,2.049,2
598,"puño",4.82,1.997,2
599,"pura",8.66,1.975,3
600,"puré",4.34,1.891,2
601,"puro",6.38,1.915,3
602,"puso",4.78,1.718,1
603,"puta",6.74,2.586,2
604,"rabo",4.18,1.612,2
605,"raíl",7.54,2.178,2
606,"raíz",6.14,1.917,2
607,"rama",5.40,1.979,2
608,"ramo",5.50,1.940,2
609,"rana",3.64,1.613,2
610,"raro",5.22,2.053,3
611,"rasa",8.92,2.184,2
612,"raso",9.21,1.374,3
613,"rata",3.82,1.587,2
614,"rato",4.58,2.071,2
615,"raya",3.68,1.845,2
616,"rayo",5.14,1.578,2
617,"raza",7.42,1.939,2
618,"real",6.72,2.119,2
619,"reír",3.02,1.478,1
620,"reja",5.40,1.852,2
621,"reto",8.54,1.865,2
622,"rezo",5.16,2.198,2
623,"rica",4.94,2.419,2
624,"rico",4.64,1.860,3
625,"rifa",7.42,1.960,2
626,"rima",7.82,1.848,2
627,"riña",5.94,2.645,2
628,"risa",3.24,1.648,2
629,"robo",6.14,1.852,2
630,"roca",4.18,1.535,2
631,"roce",8.36,2.068,2
632,"rock",7.92,2.562,2
633,"roja",3.64,1.860,3
634,"rojo",2.94,1.490,2
635,"roll",10.38,1.455,3
636,"roma",8.48,1.741,2
637,"roña",8.60,2.204,2
638,"ropa",2.80,1.429,2
639,"rosa",3.66,1.493,2
640,"rota",4.34,2.246,2
641,"roto",3.62,1.839,1
642,"rubí",8.28,2.374,2
643,"rusa",7.80,1.784,3
644,"ruso",8.52,1.502,3
645,"ruta",8.08,2.039,2
646,"sabe",4.58,1.875,1
647,"saca",4.60,2.185,1
648,"saco",4.64,1.871,2
649,"sala",5.58,2.214,2
650,"sale",5.04,1.906,1
651,"sana",6.04,2.762,3
652,"sano",6.50,2.159,3
653,"sapo",4.08,1.904,2
654,"sara",3.68,1.720,2
655,"sean",6.40,2.167,1
656,"seca",4.44,2.296,3
657,"seco",5.14,2.167,3
658,"seda",7.10,2.043,2
659,"sede",10.26,1.352,2
660,"seis",3.15,0.816,4
661,"seno",8.94,1.984,2
662,"seña",7.98,2.646,2
663,"sepa",6.44,2.596,1
664,"será",5.92,1.782,1
665,"seta",6.40,2.347,2
666,"sexo",8.06,2.104,2
667,"sexy",8.48,2.159,3
668,"sida",10.02,1.647,2
669,"sido",5.94,2.113,1
670,"sien",9.32,2.114,2
671,"siga",6.36,2.136,1
672,"sino",6.78,2.160,4
673,"snob",10.32,1.609,2
674,"soda",6.98,2.889,2
675,"sofá",4.58,2.001,2
676,"soga",5.62,1.713,2
677,"sois",6.76,2.115,1
678,"soja",9.52,1.982,2
679,"sola",4.93,1.675,3
680,"solo",4.30,2.082,3
681,"sólo",3.70,1.972,4
682,"sopa",3.12,1.599,2
683,"soso",7.56,2.224,3
684,"stop",6.62,2.415,2
685,"sube",3.70,1.843,1
686,"suma",5.10,1.298,2
687,"suyo",5.38,2.381,4
688,"taco",7.24,2.395,2
689,"tapa",4.48,1.607,2
690,"tara",10.24,1.519,2
691,"taxi",4.84,1.730,2
692,"taza",3.74,1.794,2
693,"teja",6.38,2.390,2
694,"tela",5.34,1.891,2
695,"tele",2.92,1.602,2
696,"tema",5.80,1.457,2
697,"test",9.48,1.555,2
698,"teta",3.44,1.809,2
699,"tipo",7.56,2.260,2
700,"tira",4.68,2.123,1
701,"tiro",6.60,2.222,2
702,"toca",3.96,1.678,1
703,"toda",3.64,1.782,4
704,"todo",3.54,1.961,4
705,"toga",9.92,1.782,2
706,"toma",3.68,2.004,1
707,"tomo",8.46,2.323,2
708,"tono",8.02,2.114,2
709,"topo",6.24,2.615,2
710,"toro",5.40,2.286,2
711,"trae",3.92,1.904,1
712,"tras",6.66,2.789,4
713,"tren",3.48,1.909,2
714,"tres",2.24,1.021,4
715,"tubo",5.34,1.912,2
716,"tuve",5.26,1.904,1
717,"tuvo",5.40,2.157,1
718,"tuya",4.62,2.212,4
719,"tuyo",4.07,1.492,4
720,"unas",4.30,2.315,4
721,"unos",4.26,2.127,4
722,"uñas",3.20,1.429,2
723,"urbe",10.66,0.626,2
724,"útil",7.76,1.791,3
725,"uvas",4.22,1.972,2
726,"vaca",3.08,1.676,2
727,"vago",6.02,1.932,2
728,"vais",6.90,2.131,1
729,"vale",3.60,1.959,1
730,"vals",9.14,2.030,2
731,"vaso",2.80,1.414,2
732,"vaya",5.84,2.452,1
733,"vean",6.16,2.113,1
734,"veas",5.46,2.252,1
735,"vega",10.29,1.732,2
736,"veía",5.36,1.758,1
737,"veis",6.42,2.627,1
738,"vela",4.16,1.646,2
739,"vena",6.90,2.279,2
740,"vera",9.98,1.622,2
741,"verá",6.10,2.044,1
742,"vete",3.64,2.068,1
743,"vías",8.28,2.051,2
744,"vida",4.68,1.953,2
745,"viga",8.80,1.807,2
746,"vine",4.68,1.823,1
747,"vino",5.50,2.121,1
748,"vive",4.40,1.641,1
749,"vivo",4.92,2.108,3
750,"voto",8.38,1.872,2
751,"yate",7.26,1.988,2
752,"yaya",4.28,3.252,2
753,"yeso",7.36,2.164,2
754,"york",7.82,2.145,2
755,"yoyó",4.52,1.669,2
756,"zinc",10.28,1.278,2
757,"zona",7.02,1.835,2
758,"zumo",3.66,1.836,2
759,"abajo",2.96,1.370,4
760,"abeja",4.30,1.810,2
761,"abeto",7.66,2.429,2
762,"abono",7.80,2.321,2
763,"abril",4.86,1.539,4
764,"abrir",3.18,1.662,1
765,"abuso",9.06,2.014,2
766,"acaba",5.42,1.980,1
767,"acabo",5.46,2.022,1
768,"acabó",5.14,1.818,1
769,"acaso",7.64,2.220,4
770,"acero",7.92,2.156,2
771,"ácido",7.78,2.550,3
772,"acoso",10.10,1.313,2
773,"actor",6.44,1.842,2
774,"actos",7.60,1.401,2
775,"adiós",1.74,0.986,4
776,"agrio",7.06,2.606,3
777,"agudo",8.10,1.787,3
778,"aguja",4.68,1.801,2
779,"ahora",4.48,2.178,4
780,"álbum",6.40,1.959,2
781,"amada",7.67,1.797,2
782,"amado",6.12,2.529,3
783,"ambos",7.54,1.908,4
784,"ameno",9.82,1.466,3
785,"amiga",3.90,1.515,2
786,"amigo",3.54,1.631,2
787,"ancha",5.56,2.072,3
788,"ancho",5.79,1.597,3
789,"ancla",6.08,2.221,2
790,"andar",3.86,1.773,1
791,"ángel",4.56,2.130,2
792,"ánimo",7.00,2.040,2
793,"ansia",9.46,1.693,2
794,"antes",4.84,1.633,4
795,"anual",7.98,2.075,3
796,"añejo",9.96,1.665,2
797,"aorta",10.24,1.238,2
798,"apodo",8.46,1.961,2
799,"apoyo",7.52,2.341,2
800,"aquel",5.10,2.418,4
801,"árabe",8.72,1.885,3
802,"araña",3.32,1.421,2
803,"árbol",2.62,1.227,2
804,"arcón",9.34,1.975,2
805,"arder",6.12,1.996,1
806,"ardor",7.44,2.712,2
807,"arena",3.46,1.403,2
808,"armas",6.44,2.052,2
809,"aroma",7.32,2.025,2
810,"arroz",3.68,1.596,2
811,"asado",6.62,2.029,2
812,"aspas",8.36,2.472,2
813,"astro",8.44,1.853,2
814,"atajo",7.46,2.082,2
815,"ataúd",8.02,1.846,2
816,"ático",8.06,2.180,3
817,"átomo",10.44,0.951,2
818,"atrás",3.52,1.752,4
819,"atrio",10.56,1.402,2
820,"audaz",9.92,1.455,3
821,"autor",7.70,1.887,2
822,"ávila",8.98,2.162,2
823,"avión",3.62,1.441,2
824,"aviso",6.26,2.165,2
825,"axila",7.38,2.165,2
826,"ayuda",4.70,2.082,2
827,"aznar",10.24,1.437,2
828,"bahía",8.58,1.907,2
829,"baile",4.34,1.791,2
830,"bajar",4.06,1.596,1
831,"balas",6.30,1.681,2
832,"balón",3.04,1.538,2
833,"banco",6.14,2.129,2
834,"banda",6.20,2.213,2
835,"bando",8.32,2.299,2
836,"barba",3.36,1.411,2
837,"barca",5.28,1.629,2
838,"barco",3.30,1.432,2
839,"barra",6.72,1.604,2
840,"barro",4.46,1.843,2
841,"basto",7.20,2.295,3
842,"beber",2.20,1.178,1
843,"beige",8.44,2.260,3
844,"bella",5.24,2.046,3
845,"bello",6.36,1.871,3
846,"berza",10.58,1.295,2
847,"besar",3.26,1.827,1
848,"betún",7.54,2.409,2
849,"bicho",2.96,1.324,2
850,"bimbo",6.98,2.462,2
851,"bingo",8.14,2.020,2
852,"blusa",4.42,2.091,2
853,"boina",7.10,2.452,2
854,"bolas",3.94,1.417,3
855,"bolsa",3.36,1.562,2
856,"bolso",3.94,1.789,2
857,"bomba",6.70,2.252,2
858,"bonos",8.84,1.963,2
859,"borde",5.92,2.747,2
860,"botar",5.40,2.499,1
861,"botas",4.34,2.066,2
